Fecha,Confirmados,Activos,Recuperados,Fallecidos
13/03/2020,1,1,0,0
14/03/2020,2,2,0,0
15/03/2020,3,2,0,1
16/03/2020,6,5,0,1
17/03/2020,6,5,0,1
18/03/2020,8,7,0,1
19/03/2020,9,8,0,1
20/03/2020,13,12,0,1
21/03/2020,17,16,0,1
22/03/2020,19,18,0,1
23/03/2020,21,20,0,1
24/03/2020,21,20,0,1
25/03/2020,24,19,4,1
26/03/2020,25,19,5,1
27/03/2020,28,22,5,1
28/03/2020,34,23,10,1
29/03/2020,36,25,10,1
30/03/2020,36,25,10,1
31/03/2020,39,26,12,1
01/04/2020,46,33,12,1
02/04/2020,47,34,12,1
03/04/2020,50,37,12,1
04/04/2020,61,44,15,2
05/04/2020,70,52,15,3
06/04/2020,74,54,17,3
07/04/2020,80,60,17,3
08/04/2020,87,67,17,3
09/04/2020,126,106,17,3
10/04/2020,137,115,19,3
11/04/2020,153,130,19,3
12/04/2020,156,131,19,5
13/04/2020,167,142,19,5
14/04/2020,180,155,19,5
15/04/2020,196,171,19,5
16/04/2020,214,185,21,7
17/04/2020,235,206,21,7
18/04/2020,257,227,21,7
19/04/2020,289,258,22,7
20/04/2020,294,261,24,7
21/04/2020,316,282,24,8
22/04/2020,342,305,25,10
23/04/2020,384,341,30,11
24/04/2020,430,387,30,11
25/04/2020,473,413,45,13
26/04/2020,500,434,49,15
27/04/2020,530,464,49,15
28/04/2020,557,477,62,16
29/04/2020,585,502,65,16
30/04/2020,599,515,66,16
01/05/2020,644,554,72,16
02/05/2020,688,597,72,17
03/05/2020,703,612,72,17
04/05/2020,730,630,79,19
05/05/2020,763,663,79,19
06/05/2020,798,689,86,21
07/05/2020,832,717,90,23
08/05/2020,900,773,101,24
09/05/2020,967,837,104,24
10/05/2020,1052,914,110,26
11/05/2020,1114,975,111,26
12/05/2020,1199,1050,120,27
13/05/2020,1342,1190,121,29
14/05/2020,1518,1358,129,29
15/05/2020,1643,1476,135,30
16/05/2020,1763,1590,138,33
17/05/2020,1912,1737,138,35
18/05/2020,2001,1822,139,38
19/05/2020,2133,1933,155,43
20/05/2020,2265,2059,159,45
21/05/2020,2512,2240,222,48
22/05/2020,2743,2468,222,51
23/05/2020,3054,2753,244,55
24/05/2020,3424,3106,258,58
25/05/2020,3760,3425,274,59
26/05/2020,3954,3600,289,63
27/05/2020,4145,3582,493,68
28/05/2020,4348,3701,565,80
29/05/2020,4607,3867,648,90
30/05/2020,4739,3929,706,102
31/05/2020,5087,4242,735,108
01/06/2020,5336,4423,795,116
02/06/2020,5586,4637,824,123
03/06/2020,5760,4686,929,143
04/06/2020,6154,5015,979,158
05/06/2020,6485,5214,1053,216
06/06/2020,6792,5427,1133,230
07/06/2020,7055,5540,1261,252
08/06/2020,7502,5910,1323,267
09/06/2020,7866,6162,1413,289
10/06/2020,8221,6399,1504,316
11/06/2020,8561,6658,1567,334
12/06/2020,8982,6927,1702,351
13/06/2020,9491,7318,1804,367
14/06/2020,9845,7573,1886,384
15/06/2020,10272,7905,1966,399
16/06/2020,10706,8190,2096,418
17/06/2020,11251,8617,2200,432
18/06/2020,11868,9127,2290,449
19/06/2020,12509,9605,2419,483
20/06/2020,12755,9681,2558,514
21/06/2020,13145,9901,2711,531
